tipo,insumo,unidad,precio,fecha,fuente,evidencia
material,Sello mecanico para bomba centrifuga,pieza,,,,
material,Breaker termomagnetico 480V,pieza,,,,
material,Kit de anillos y valvulas para compresor reciprocante,pieza,,,,
material,Aceite dielectrico mineral,litro,,,,
material,Kit de reparacion (empaques y diafragma) para valvula de control,pieza,,,,
material,Rodamiento para motor electrico trifasico,pieza,,,,
material,Sello mecanico para bomba sumergible,pieza,,,,
material,Contactor y rele termico 220V,pieza,,,,
material,Filtro de aceite y separador para compresor de tornillo,pieza,,,,
equipo,Herramienta menor de mantenimiento,,,,,
equipo,Alquiler de grua o montacargas para transformador,,,,,
equipo,Alquiler de compresor portatil de prueba,,,,,
mano_obra,Tecnico de mantenimiento mecanico,,,,,
mano_obra,Tecnico electricista,,,,,
mano_obra,Tecnico mecanico de compresores,,,,,
mano_obra,Tecnico electricista de potencia,,,,,
mano_obra,Tecnico de instrumentacion,,,,,
mano_obra,Tecnico electromecanico,,,,,
