tipo,insumo,unidad,precio
equipo,ALICATE PARA ELECTRICISTA,dia,50.0660
equipo,CAMION VOLTEO 8 M3 FORD 7000 O SIM,dia,113244.4451
equipo,CARRETILLA PARA CONSTRUCCION,dia,241.9855
equipo,CINTA METRICA 3 MT / CINTA Y CARCAZA METALICA,dia,17.8807
equipo,COMPACTADORA RANA / PLANCHA 0.50 X 1.0M - 280 KG,dia,95.3637
equipo,FUSIONADORA EMPALMADORA DE FIBRA OPTICA,dia,178.8070
equipo,HERRAMIENTAS MENORES,dia,14.3046
equipo,"MARTILLO CARPINTERO NACIONAL 0,6 KGM MANGO MAD",dia,34.5694
equipo,"MEZCLADORA P/CONCRETO CAP=0,40 M3 12,2 HP (DIESE",dia,9536.3743
equipo,"NIVEL DE 3 BURBUJAS Y 18""",dia,52.4501
equipo,PALA CUADRADA CON CABO DE MADERA,dia,35.7614
equipo,PICO CON CABO,dia,40.5296
equipo,RETROEXCAVADORA CASE O SIM,dia,110025.9187
equipo,SEGUETA AJUSTABLE (ARCO),dia,34.5694
equipo,"SIERRA ELECTRICA CIRCULAR D=7 1/4"" 110V 1,6 KWH",dia,417.2164
equipo,"TALADRO INDUSTRIAL BANCO 3/4"" 750W",dia,21.4568
equipo,TOBO PLASTICO CAP= 10 LT DE ALBAÑILERIA,dia,14.3046
equipo,VEHICULO PARA TRANSPORTE DE PERSONAL,dia,214.5684
equipo,VIBRADOR PARA CONCRETO,dia,953.6374
mano_obra,ALBAÑIL DE 1RA -N5,dia,2.1877
mano_obra,ARQUITECTO P-10 CIV (MAS DE 30 AÑOS),dia,122.4400
mano_obra,ARQUITECTO P-2 CIV (4 A 5 AÑOS EXPER.),dia,43.6800
mano_obra,ARQUITECTO P-3 CIV (6 A 7 AÑOS DE EXPER.),dia,49.7300
mano_obra,ARQUITECTO P-4 CIV (7 A 8 AÑOS DE EXPER.),dia,52.7800
mano_obra,ARQUITECTO P-5 CIV (10 A 11 AÑOS EXPER.),dia,61.9300
mano_obra,ARQUITECTO P-7 CIV (14 A 15 AÑOS EXPER.),dia,74.1200
mano_obra,ARQUITECTO PAISAJISTA P-3 CIV (6 A 7 AÑOS EX,dia,49.7300
mano_obra,AYUDANTE - TABULADOR CONSTRUCCION -N2,dia,1.7816
mano_obra,CARPINTERO DE 1RA -N5,dia,2.1877
mano_obra,CHOFER DE 2DA (DE 3 A 8 TON) -N4,dia,1.9938
mano_obra,CHOFER DE 4TA -N2,dia,1.7816
mano_obra,ELECTRICISTA DE 1RA -N5,dia,2.1877
mano_obra,GERENTE DE PROYECTOS C/CERTIFICACION,dia,170.0000
mano_obra,INGENIERO AMBIENTAL P-7,dia,74.1200
mano_obra,INGENIERO CIVIL P-6 CIV (11 A 12 AÑOS DE EXP,dia,64.9700
mano_obra,INGENIERO CIVIL P-7 CIV (14 A 15 AÑOS DE EXP,dia,74.1200
mano_obra,INGENIERO COMPUTISTA P-9 CIV (19-20 AÑOS EX,dia,89.1400
mano_obra,INGENIERO DE COSTOS P-7 CIV (14 A 15 AÑOS E,dia,74.1200
mano_obra,INGENIERO DE COSTOS P-9 CIV (19-20 AÑOS EXP,dia,89.1400
mano_obra,INGENIERO DE MANTENIMIENTO P-7 CIV 14-15 A,dia,74.1200
mano_obra,INGENIERO DE PLANTA P-6 CIV (11 A 12 AÑOS D,dia,64.9700
mano_obra,INGENIERO DE SUELOS CIV P-7,dia,74.1200
mano_obra,INGENIERO DE SUELOS P-7 CIV,dia,74.1200
mano_obra,INGENIERO ELECTRICISTA P-7 CIV,dia,74.1200
mano_obra,INGENIERO GEODESTA P-7 CIV,dia,74.1200
mano_obra,INGENIERO GEOLOGO P-7 CIV,dia,74.1200
mano_obra,INGENIERO HIDRAULICO P-7 CIV (14 A 15 AÑOS,dia,74.1200
mano_obra,INGENIERO MECANICO P-5 CIV (10 A 11 AÑOS EX,dia,61.9300
mano_obra,INGENIERO MECANICO P-7 CIV,dia,74.1200
mano_obra,INGENIERO P-1 CIV (0 A 1 AÑO EXPER.),dia,31.6700
mano_obra,INGENIERO P-10 CIV (MAS DE 30 AÑOS),dia,122.4400
mano_obra,INGENIERO P-2 CIV (4 A 5 AÑOS DE EXPERIENCIA,dia,43.6800
mano_obra,INGENIERO P-3 CIV (6 A 7 AÑOS DE EXPERIENCIA,dia,49.7300
mano_obra,INGENIERO P-4 CIV (7 A 8 AÑOS DE EXPERIENCIA,dia,52.7800
mano_obra,INGENIERO P-5 CIV ANALISTA DIAGNOSTICO,dia,61.9300
mano_obra,INGENIERO P-5 CIV ANALISTA TELECOMUNICACIO,dia,61.9300
mano_obra,INGENIERO P-7 CIV,dia,74.1200
mano_obra,INGENIERO P-7 CIV (14 A 15 AÑOS DE EXPER.),dia,74.1200
mano_obra,INGENIERO P-8 CIV (16 A 17 AÑOS EXPERIENCIA,dia,79.9900
mano_obra,INGENIERO P-9 CIV (19 A 20 AÑOS EXPERIENCIA,dia,89.1400
mano_obra,INGENIERO PLANIFICADOR P-4 CIV (7 A 8 AÑOS,dia,52.7800
mano_obra,INGENIERO SANITARIO P-7 CIV (14 A 15 AÑOS EX,dia,74.1200
mano_obra,MAESTRO ELECTRICISTA -N7,dia,2.3215
mano_obra,MECANICO DE EQUIPO PESADO DE 1RA -N8,dia,2.5560
mano_obra,OPERADOR DE EQUIPO PESADO DE 1RA -N8,dia,2.5560
mano_obra,PASAJE Y TRASLADOS,dia,70.0000
mano_obra,PLANIFICADOR DE CONTRATACIONES CERTIFICA,dia,170.0000
mano_obra,PROFESIONAL CIV ESTIMADOR COSTOS P-10 (+3,dia,122.4400
mano_obra,PROFESIONAL CIV P-7  (13  A 14 AÑOS EXPER.),dia,71.0700
mano_obra,PROFESIONAL CIV P-9  (19 A 20 AÑOS EXPER.),dia,89.1400
mano_obra,PROFESIONAL CIV P-9A  (24 A 25 AÑOS EXPER.),dia,104.3800
material,ACEITE PARA MAQUINAS/MOTORES,lt,15.4966
material,AGUA SUMINISTRADA EN CAMION CISTERNA O TANQUE,m3,11.9205
material,"ANILLO EMT D=2""",pza,9.5364
material,ARENA LAVADA,m3,59.6023
material,CABLE FIBRA OPTICA ADSS 48 HILOS MONOMODO OM3,m,2.3841
material,CABLE UTP DE RED VOZ/DATO 4P CATEGORIA 6,m,2.3841
material,"CAJETIN RECTANGULAR PVC 2"" X 4"" X 1/2"" ELECT",pza,1.9073
material,CAJETIN SUPERFICIAL RED 1 PUERTO,und,2.3841
material,"CANALETA PARA CABLEADO SUPERFICIAL 1"" 25 MM",m,4.1722
material,"CEMENTO GRIS PORTLAND SACO 42.5 KG/93,7 LB",sco,19.0727
material,"CINTA AISLANTE PLAST 3/4"" X 0.007 X 66 NEGRO BT",rll,26.2250
material,"CLAVO DE ACERO LISO L=2 1/2""",pza,0.4768
material,"CODO PVC 90 GRADOS A.N. D=4""",pza,7.1523
material,CONECTOR P/CABLE DE RED RJ45 (MACHO)  CAT 6,pza,0.1907
material,CONECTOR/JACK COUPLER HEMBRA RJ45 CAT 6,und,2.3841
material,CORREA INDUSTRIAL A41 PARA MOTOR,pza,10.7284
material,DESENCOFRANTE SIKA,lt,9.0596
material,ESPIRAL ORGANIZADOR CABLE D= 12MM,m,1.4305
material,FILTRO DE ACEITE DE MOTOR,und,14.3046
material,GRASA PARA RODAMIENTOS,env,20.2648
material,"GUAYA DE ACERO D=1/4"" (6,35 mm) 0,16 KG/M",m,4.2914
material,"LISTON MADERA P/ENCOFRADO 2"" X 4"" X 3 MT",und,4.1722
material,MADERA PARA ENCOFRADO DE PINO O SIMILAR,m3,834.4328
material,MAT. P/INSTALACION SELLO MECANICO TIPO CARTUCHO,sg,298.0117
material,MATERIAL GRANULAR INTEGRAL,m3,7.1523
material,PATCH PANEL 24 PUERTOS CATEGORIA 6,und,52.4501
material,PEGAMENTO PARA PVC  1/4 GL TANGIT  O SIM,env,34.5694
material,PIEDRA PICADA PARA CONCRETO,m3,59.6023
material,"RACK ABIERTO 4U DE PARED 19""  P/SERVIDOR",und,53.6421
material,RODAMIENTOS DE ALTERNADOR,und,69.1387
material,SUICHE/SWITCH TP-LINK O SIM 48P 10/100 P/RACK,und,283.7071
material,"TIRRAP-TIE-WRAP AMARRE PLASTICO 3,5MM X 200 MM",pza,0.0954
material,TOMACORRIENTE DOBLE 1 FASE 20/30 A,pza,6.7947
material,TRANSFORMADOR EN ACEITE 100 KVA 13.8/120/240,und,5423.8129
material,TRANSFORMADOR MONOF. ACEITE 75 KVA 13800/120/220,und,4768.1872
material,"TUBO PVC A.N. D=4"" / 110 MM E = 2,2 MM NORMA",m,13.9291
material,"TUBO PVC ELECTRICIDAD CORRUGADO FLEXIBLE D= 1""",m,2.6225
material,"UNION PVC A.B. 4""",pza,8.3443
material,"VALVULA CHECK D= 1"" PISTON ACERO INOXIDABLE",pza,119.2047
material,"VALVULA PASO BOLA D= 2"" ACERO INOXIDABLE",pza,314.2235
