tipo,insumo,unidad,precio_bs,bono_bs,factor_depreciacion,precio_usd,fecha_vigencia,archivo,ref_maprex,notas
material,CABLE UTP DE RED VOZ/DATO 4P CATEGORIA 6,m,1510.00,,,2.3841,2026-07-09,materiales.pdf,ELA006,"cable UTP categoria 6 (cubre 'Bobina Cable Utp Cat 6' y 'Bobina Cable Utp Cat6 305m Int' de la plantilla: mismo insumo, distinta presentacion de rollo)"
material,"TUBO PVC ELECTRICIDAD CORRUGADO FLEXIBLE D= 1""",m,1661.00,,,2.6225,2026-07-09,materiales.pdf,ELE906,"equivalente de 'Tubo Corrugado Flexible 1 Pulgada'; tubo PVC electricidad corrugado flexible D=1"" exacto"
material,CONECTOR P/CABLE DE RED RJ45 (MACHO)  CAT 6,pza,120.80,,,0.1907,2026-07-09,materiales.pdf,ELC069,"equivalente de 'Conectores Rj45 Cat6 Utp Bolsa'; conector RJ45 macho cat 6 (precio por pieza, no por bolsa de 100)"
material,CONECTOR/JACK COUPLER HEMBRA RJ45 CAT 6,und,1510.00,,,2.3841,2026-07-09,materiales.pdf,ELC065,equivalente de 'Conector Jack Coupler Ubiquiti Rj45'; jack coupler hembra RJ45 cat 6 generico (MaPreX no distingue marca Ubiquiti)
material,"TIRRAP-TIE-WRAP AMARRE PLASTICO 3,5MM X 200 MM",pza,60.40,,,0.0954,2026-07-09,materiales.pdf,QUI059,"cubre 'Bolsa Tirrap (100 unidades)' y 'Amarre Tiewrap Negro Plastico 20 Cm'; tirrap 3,5mm x 200mm, precio por pieza"
material,ESPIRAL ORGANIZADOR CABLE D= 12MM,m,906.00,,,1.4305,2026-07-09,materiales.pdf,ELF449,equivalente de 'Organizador De Cables Individuales 20cm'; espiral organizador de cable (forma distinta: espiral continuo vs organizadores individuales)
material,"CINTA AISLANTE PLAST 3/4"" X 0.007 X 66 NEGRO BT",rll,16610.00,,,26.2250,2026-07-09,materiales.pdf,ELF215,cubre 'Teipe Electrico Negro Cobra' y 'Teipe Aislante Para Cableado Electrico'; cinta aislante plastica negra (MaPreX no lista la marca Cobra)
material,TOMACORRIENTE DOBLE 1 FASE 20/30 A,pza,4303.50,,,6.7947,2026-07-09,materiales.pdf,ELA190,equivalente de 'Toma Doble Con Tierra 270 20a Con Placa Blanca'; tomacorriente doble 1 fase 20/30A
material,"ANILLO EMT D=2""",pza,6040.00,,,9.5364,2026-07-09,materiales.pdf,ELE033,"equivalente de 'Anillo E.m.t. 2'; anillo EMT D=2"" exacto"
material,"GUAYA DE ACERO D=1/4"" (6,35 mm) 0,16 KG/M",m,2718.00,,,4.2914,2026-07-09,materiales.pdf,ACE894,"equivalente de 'Guaya Guia Pasa Cable De Acero'; guaya de acero D=1/4"" (calibre fino, tipico de guia pasacables)"
material,"CAJETIN RECTANGULAR PVC 2"" X 4"" X 1/2"" ELECT",pza,1208.00,,,1.9073,2026-07-09,materiales.pdf,ELE654,"equivalente de 'Cajetin Plastico 4x2 Pvc Con Grapa Metalica'; cajetin rectangular PVC 2""x4"" (misma medida, orden invertido)"
material,CAJETIN SUPERFICIAL RED 1 PUERTO,und,1510.00,,,2.3841,2026-07-09,materiales.pdf,ELC066,equivalente de 'Cajetin Superficial 4x2 Hembra'; cajetin superficial de red 1 puerto (MaPreX no distingue '4x2' en cajetines de red)
material,SUICHE/SWITCH TP-LINK O SIM 48P 10/100 P/RACK,und,179690.00,,,283.7071,2026-07-09,materiales.pdf,ELA633,"referencia generica de categoria para 'Switch Escritorio Gigabit 10P PoE', 'Switch Tp-link Tl-sg108 8P' y 'Switch Tp-link 16P'; unico switch de marca en MaPreX es TP-Link 48P 10/100 para rack (puertos y PoE no coinciden, ver bitacora); descripcion truncada en el PDF (ancho fijo de columna de MaPreX)"
material,"CANALETA PARA CABLEADO SUPERFICIAL 1"" 25 MM",m,2642.50,,,4.1722,2026-07-09,materiales.pdf,ELA553,"equivalente de 'Canaleta Plastica 40x40x2mts'; canaleta para cableado superficial 1""/25mm (seccion menor a 40x40mm)"
material,"RACK ABIERTO 4U DE PARED 19""  P/SERVIDOR",und,33975.00,,,53.6421,2026-07-09,materiales.pdf,ELC051,referencia de categoria para 'Rack Fijo Onlink 12u'; rack abierto 4U de pared (MaPreX no tiene racks de pared de 12U)
material,PATCH PANEL 24 PUERTOS CATEGORIA 6,und,33220.00,,,52.4501,2026-07-09,materiales.pdf,ELC057,"referencia adicional de patch panel (categoria 'racks/canalizacion' del alcance de la sesion), no de un insumo puntual de la plantilla; descripcion truncada en el PDF (ancho fijo de columna de MaPreX)"
material,CABLE FIBRA OPTICA ADSS 48 HILOS MONOMODO OM3,m,1510.00,,,2.3841,2026-07-09,materiales.pdf,EFO001,"referencia adicional de fibra optica (categoria explicita del alcance de la sesion), no de un insumo puntual de la plantilla; cable ADSS 48 hilos monomodo OM3"
equipo,FUSIONADORA EMPALMADORA DE FIBRA OPTICA,dia,113250.00,,1.000000,178.8070,2026-07-09,equipos.pdf,EFO001,fusionadora/empalmadora de fibra optica; referencia de equipo de red para contraste (README: 'fusionadoras y equipos de red')
