tipo,insumo,unidad,precio
material,BOBINA CABLE UTP CAT 6 (300 M),pieza,82.68
material,Switch Escritorio Gigabit De 10 Puertos Con Poe De,pieza,157.99
material,Tubo Corrugado Flexible 1 Pulgada (tubo de 30 m),pieza,99.75
material,Conectores Rj45 Cat6 Utp Bolsa (100 unidades),pieza,5.00
material,Bosla Tirrap (100 unidades),pieza,2.00
material,Bobina Cable Utp Cat6 305 m Int,pieza,211.21
material,Teipe Eléctrico Negro Cobra,pieza,9.99
material,Teipe Aislante Para Cableado Eléctrico,pieza,10.00
material,Toma Doble Con Tierra 270 20a Con Placa Blanca,pieza,5.05
material,Anillo E.m.t. 2,pieza,3.96
equipo,Guaya Guia Pasa Cable De Acero,,90.00
material,Cajetin Plástico 4x2 Pvc Con Grapa Metálica.,pieza,2.00
material,BOBINA CABLE UTP CAT 6 (300 M) Ext,pieza,96.99
material,Punto De Acceso Rap Ruijie,pieza,208.92
material,Switch Tp-link Tl-sg108 8 Puertos,pieza,278.56
material,Tubo Corrugado Flexible 1 Pulgada 30 MTS (tubo de 30 m),pieza,99.75
material,Amarre Tiewrap Negro Plástico 20 Cm,pieza,2.84
material,Protector De Voltaje Exceline,pieza,33.00
material,Rack Fijo Onlink 12u,pieza,202.00
material,Switch Tp-link 16 Puertos,pieza,160.00
material,Mini Ups Spidertec 17600mah,pieza,120.00
material,Nvr Hikvision 7600 Ds-7616ni-q2 16 Canales,pieza,118.75
material,Cámara Domo Ip Hikvision 4mp,pieza,127.35
material,Cajetin Superficial 4x2 Hembra,pieza,50.00
material,Conector Rj-45 Ftp Cat6 Blindado 50 U,pieza,8.80
material,Canaleta Plastica 40x40x2mts,pieza,12.00
material,Base Para Tirrap Tirraje 10 u,pieza,5.00
