renglon,descripcion,unidad,cantidad,precio_unitario,total,origen
1,BOBINA CABLE UTP CAT 6 (300 M) Ext,Pieza,1,96.99,96.99,Presupuesto_2_ARENAZA.pdf:2:1
2,Bobina Cable Utp Cat6 305 m Int,Pieza,1,211.21,211.21,Presupuesto_2_ARENAZA.pdf:2:2
3,Punto De Acceso Rap Ruijie,Pieza,4,208.92,835.68,Presupuesto_2_ARENAZA.pdf:2:3
4,Switch Tp-link Tl-sg108 8 Puertos,Pieza,1,278.56,278.56,Presupuesto_2_ARENAZA.pdf:2:4
5,Tubo Corrugado Flexible 1 Pulgada 30 MTS,Metros,90,99.75,299.25,Presupuesto_2_ARENAZA.pdf:2:5
6,Conectores Rj45 Cat6 Utp Bolsa (100 unidades),Pieza,1,5.00,5.00,Presupuesto_2_ARENAZA.pdf:2:6
7,Amarre Tiewrap Negro Plástico 20 Cm,Pieza,5,2.84,14.20,Presupuesto_2_ARENAZA.pdf:2:7
8,Organizador De Cables Individuales 20cm 100 Und,Pieza,5,19.00,95.00,Presupuesto_2_ARENAZA.pdf:2:8
9,Protector De Voltaje Exceline,Pieza,4,33.00,132.00,Presupuesto_2_ARENAZA.pdf:2:9
10,Rack Fijo Onlink 12u,Pieza,1,202.00,202.00,Presupuesto_2_ARENAZA.pdf:2:10
11,Switch Tp-link 16 Puertos,Pieza,1,160.00,160.00,Presupuesto_2_ARENAZA.pdf:2:11
12,Mini Ups Spidertec 17600mah,Pieza,1,120.00,120.00,Presupuesto_2_ARENAZA.pdf:2:12
13,Nvr Hikvision 7600 Ds-7616ni-q2 16 Canales,Pieza,1,118.75,118.75,Presupuesto_2_ARENAZA.pdf:2:13
14,Camara Bullet Ip 4mp Intemperie,Pieza,5,289.00,1446.65,Presupuesto_2_ARENAZA.pdf:2:14
15,Cámara Domo Ip Hikvision 4mp,Pieza,5,127.35,636.75,Presupuesto_2_ARENAZA.pdf:2:15
16,Cajetin Superficial 4x2 Hembra,Pieza,5,50.00,250.00,Presupuesto_2_ARENAZA.pdf:2:16
17,Conector Rj-45 Ftp Cat6 Blindado 50 U,Pieza,2,8.80,17.60,Presupuesto_2_ARENAZA.pdf:2:17
18,Conector Jack Coupler Ubiquiti Rj45,Pieza,7,42.99,303.93,Presupuesto_2_ARENAZA.pdf:2:18
19,Teipe Eléctrico Negro Cobra,Pieza,1,9.99,9.99,Presupuesto_2_ARENAZA.pdf:2:19
20,Teipe Aislante Para Cableado Eléctrico,Pieza,1,10.00,10.00,Presupuesto_2_ARENAZA.pdf:2:20
21,Canaleta Plastica 40x40x2mts,Pieza,2,12.00,24.00,Presupuesto_2_ARENAZA.pdf:2:21
22,Base Para Tirrap Tirraje 10 u,Pieza,2,5.00,10.00,Presupuesto_2_ARENAZA.pdf:2:22
23,Toma Doble Con Tierra 270 20a Con Placa Blanca,Pieza,5,5.05,25.25,Presupuesto_2_ARENAZA.pdf:2:23
24,Anillo E.m.t. 2,Pieza,2,3.96,7.92,Presupuesto_2_ARENAZA.pdf:2:24
25,Cajetin Plástico 4x2 Pvc Con Grapa Metálica.,Pieza,5,2.00,10.00,Presupuesto_2_ARENAZA.pdf:2:25
26,Guaya Guia Pasa Cable De Acero,Pieza,1,90.00,90.00,Presupuesto_2_ARENAZA.pdf:2:26
