tipo,insumo,unidad,precio,fecha,fuente,evidencia
material,Bobina Cable Utp Cat 6 (300 M),pieza,,,,
material,Switch Escritorio Gigabit De 10 Puertos Con Poe,pieza,,,,
material,Tubo Corrugado Flexible 1 Pulgada,m,,,,
material,Conectores Rj45 Cat6 Utp Bolsa (100 unidades),pieza,,,,
material,Bosla Tirrap (100 unidades),pieza,,,,
material,Organizador De Cables Individuales 20cm 100 Und,pieza,,,,
material,Bobina Cable Utp Cat6 305 m Int,pieza,,,,
material,Teipe Eléctrico Negro Cobra,pieza,,,,
material,Teipe Aislante Para Cableado Eléctrico,pieza,,,,
material,Toma Doble Con Tierra 270 20a Con Placa Blanca,pieza,,,,
material,Anillo E.m.t. 2,pieza,,,,
material,Guaya Guia Pasa Cable De Acero,pieza,,,,
material,Cajetin Plástico 4x2 Pvc Con Grapa Metálica,pieza,,,,
material,Punto De Acceso Rap Ruijie,pieza,,,,
material,Switch Tp-link Tl-sg108 8 Puertos,pieza,,,,
material,Amarre Tiewrap Negro Plástico 20 Cm,pieza,,,,
material,Protector De Voltaje Exceline,pieza,,,,
material,Rack Fijo Onlink 12u,pieza,,,,
material,Switch Tp-link 16 Puertos,pieza,,,,
material,Mini Ups Spidertec 17600mah,pieza,,,,
material,Nvr Hikvision 7600 Ds-7616ni-q2 16 Canales,pieza,,,,
material,Camara Bullet Ip 4mp Intemperie,pieza,,,,
material,Cámara Domo Ip Hikvision 4mp,pieza,,,,
material,Cajetin Superficial 4x2 Hembra,pieza,,,,
material,Conector Rj-45 Ftp Cat6 Blindado 50 U,pieza,,,,
material,Conector Jack Coupler Ubiquiti Rj45,pieza,,,,
material,Canaleta Plastica 40x40x2mts,pieza,,,,
material,Base Para Tirrap Tirraje 10 u,pieza,,,,
